archivo,codigo,nombre_planilla,precio_solo_planilla,slug_sugerido,nombre_catalogo,coincidencia,precio_catalogo,revisar,precios_con_accesorios_json
nhp 20.xlsx,B056,BODY 125 CRISTAL ,435,body-125-cc-cristal,Body 125 cc Cristal,1.0,435,No,"{""crema premium blanca (B040) negra (B041)"": 1493, ""crema gota gota negra/blanca"": 965, ""crema gota gota ENFUNDADA"": 1556, ""spray blanca/ negra"": 778, ""spray enfundada plata oro b114 / B115"": 1556, ""tapa flip on top blanca (B053) negra (J010)"": 654, ""tapa ciega blanca (H012)"": 585, ""difusora plastica VARIOS COLORES"": 585}"
nhp 20.xlsx,B057,BODY 125 BLANCO,468,body-125-cc-blanco,Body 125 cc Blanco,1.0,468,No,"{""crema premium blanca (B040) negra (B041)"": 1526, ""crema gota gota negra/blanca"": 998, ""crema gota gota ENFUNDADA"": 1589, ""spray blanca/ negra"": 811, ""spray enfundada plata oro b114 / B115"": 1589, ""tapa flip on top blanca (B053) negra (J010)"": 687, ""tapa ciega blanca (H012)"": 618, ""difusora plastica VARIOS COLORES"": 618}"
nhp 20.xlsx,B058,BODY 125 AMBAR,468,body-125-cc-ambar,Body 125 cc Ámbar,1.0,468,No,"{""crema premium blanca (B040) negra (B041)"": 1526, ""crema gota gota negra/blanca"": 998, ""crema gota gota ENFUNDADA"": 1589, ""spray blanca/ negra"": 811, ""spray enfundada plata oro b114 / B115"": 1589, ""tapa flip on top blanca (B053) negra (J010)"": 687, ""tapa ciega blanca (H012)"": 618, ""difusora plastica VARIOS COLORES"": 618}"
nhp 20.xlsx,B104,BODY 100 CRISTAL,435,body-100-cc-cristal,Body 100 cc Cristal,1.0,435,No,"{""crema premium blanca (B040) negra (B041)"": 1493, ""crema gota gota negra/blanca"": 965, ""crema gota gota ENFUNDADA"": 1556, ""spray blanca/ negra"": 778, ""spray enfundada plata oro b114 / B115"": 1556, ""tapa flip on top blanca (B053) negra (J010)"": 654, ""tapa ciega blanca (H012)"": 585, ""difusora plastica VARIOS COLORES"": 585}"
nhp 20.xlsx,B014,SOFT 100 ML -  CRISTAL  R  20,0,soft-100-cc-cristal,Soft 100 cc Cristal,1.0,435,Sí,"{""crema premium blanca (B040) negra (B041)"": 1058, ""crema gota gota negra/blanca"": 530, ""crema gota gota ENFUNDADA"": 1121, ""spray blanca/ negra"": 343, ""spray enfundada plata oro b114 / B115"": 1121, ""tapa flip on top blanca (B053) negra (J010)"": 219, ""tapa ciega blanca (H012)"": 150, ""difusora plastica VARIOS COLORES"": 150}"
nhp 20.xlsx,B075,LONG HEAVEN 100 CRISTAL,435,long-heaven-100-cc-cristal,Long Heaven 100 cc Cristal,1.0,435,No,"{""crema premium blanca (B040) negra (B041)"": 1493, ""crema gota gota negra/blanca"": 965, ""crema gota gota ENFUNDADA"": 1556, ""spray blanca/ negra"": 778, ""spray enfundada plata oro b114 / B115"": 1556, ""tapa flip on top blanca (B053) negra (J010)"": 654, ""tapa ciega blanca (H012)"": 585, ""difusora plastica VARIOS COLORES"": 585}"
nhp 20.xlsx,B076,LONG HEAVEN 100 BLANCO,504,long-heaven-100-cc-blanco,Long Heaven 100 cc Blanco,1.0,504,No,"{""crema premium blanca (B040) negra (B041)"": 1562, ""crema gota gota negra/blanca"": 1034, ""crema gota gota ENFUNDADA"": 1625, ""spray blanca/ negra"": 847, ""spray enfundada plata oro b114 / B115"": 1625, ""tapa flip on top blanca (B053) negra (J010)"": 723, ""tapa ciega blanca (H012)"": 654, ""difusora plastica VARIOS COLORES"": 654}"
nhp 20.xlsx,B077,LONG HEAVEN 100 AMBAR,504,long-heaven-100-cc-ambar,Long Heaven 100 cc Ambar,1.0,504,No,"{""crema premium blanca (B040) negra (B041)"": 1562, ""crema gota gota negra/blanca"": 1034, ""crema gota gota ENFUNDADA"": 1625, ""spray blanca/ negra"": 847, ""spray enfundada plata oro b114 / B115"": 1625, ""tapa flip on top blanca (B053) negra (J010)"": 723, ""tapa ciega blanca (H012)"": 654, ""difusora plastica VARIOS COLORES"": 654}"
nhp 20.xlsx,B015,RO 75 BLANCO ,311,ro-75-cc-blanco,Ro 75 cc Blanco,1.0,311,No,"{""crema premium blanca (B040) negra (B041)"": 1369, ""crema gota gota negra/blanca"": 841, ""crema gota gota ENFUNDADA"": 1432, ""spray blanca/ negra"": 654, ""spray enfundada plata oro b114 / B115"": 1432, ""tapa flip on top blanca (B053) negra (J010)"": 530, ""tapa ciega blanca (H012)"": 461, ""difusora plastica VARIOS COLORES"": 461}"
nhp 20.xlsx,B016,RO 75 AMBAR,311,ro-75-cc-ambar,Ro 75 cc Ambar,1.0,311,No,"{""crema premium blanca (B040) negra (B041)"": 1369, ""crema gota gota negra/blanca"": 841, ""crema gota gota ENFUNDADA"": 1432, ""spray blanca/ negra"": 654, ""spray enfundada plata oro b114 / B115"": 1432, ""tapa flip on top blanca (B053) negra (J010)"": 530, ""tapa ciega blanca (H012)"": 461, ""difusora plastica VARIOS COLORES"": 461}"
